Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language
2022-04-27 23:59:43+00:00,1.52E+18,"A new Ukrainian version of Austrian artist Gustav Klimt's famous painting ""The Kiss"" by Solomiya Kovalchuk. 

The link below is to her direct Instagram. 
https://t.co/eLx9v2qkXE 

 #ukraine #standingwithukraine #standforukraine #standwithukraine #ukrainianart https://t.co/ZUGHzmENjd",Wildmoonsister,1,Robin Pierce,en
2022-04-27 23:59:24+00:00,1.52E+18,"#StandWithUkraine 
#SlavaUkraini 
#UkraineEUmember https://t.co/8veYiq835y",BlnBiker,0,Berlin Biker 🇦🇫 🇺🇦,und
2022-04-27 23:59:00+00:00,1.52E+18,"💔
#StandUpForUkraine
#StandWithUkraine🇺🇦🌻 https://t.co/HaznFci77L",polarbear_2017,0,polarbear,und
2022-04-27 23:58:42+00:00,1.52E+18,"🇷🇺claims that it ""evacuated"" more than 1 million Ukrainians to 🇷🇺. To be clear, this is deportation. Cruel and senseless. Soviet/Nazi style.
#StandWithUkraine #StopPutinNOW 
У Росії заявили, що вивезли з України вже понад мільйон людей https://t.co/JOPG4MKgjU via @ukrpravda_news",YGorodnichenko,21,Yuriy Gorodnichenko,und
2022-04-27 23:58:34+00:00,1.52E+18,@DefenceU #StandWithUkraine,Julian91911,0,Julian 🇺🇦 I stand with Ukraine! 🇺🇦,und
2022-04-27 23:58:30+00:00,1.52E+18,"""Russia Is Being Hacked at an Unprecedented Scale"" 
🇺🇦 #StandWithUkraine🇺🇦 https://t.co/14LJlXcF5J",dzhray,1,Ray🇨🇦🇺🇸,en
2022-04-27 23:58:05+00:00,1.52E+18,"Some more photos of Saint Javelin by the amazing @EPAKIM1 

Available in our store https://t.co/Jyzb8Vduyu (all profits: ~$18 go to Ukraine aid)

#SaintJavelin #StandWithUkraine #Ukraine #СлаваУкраїні #SupportUkraine #SlavaUkraini https://t.co/Fm3rii1pkf",SupportUA_art,9,SupportUkraine.art - all profits go to Ukraine,en
2022-04-27 23:57:13+00:00,1.52E+18,@IneBackIversen @ivorprickett @nytimes #BeBraveLikeUkraine #StandWithUkraine 💙💛🇺🇦,otakuphoenix185,0,Red 9 Otaku Rider,und
2022-04-27 23:57:12+00:00,1.52E+18,"#StandUpForUkraine 
#StandWithUkraine 
#StopRussia 
#ArmUkraine https://t.co/hCiBqnC9LS",IsabelDiogo,0,Isabel Diogo🇵🇹,und
2022-04-27 23:56:49+00:00,1.52E+18,#MariupolNow #Mariupol #AzovstaI #SaveMariupol #StandUpForUkraine #StandWithUkraine #UkraineUnderAttaсk #UkraineUnderSiege https://t.co/IJtziikGXu,Europaetal,1,Atlantia,und
